property_type,location,price,features,neighourhood,bedroom,bathroom,toilet,parking_lot
"Executive And Luxury 2 Bedroom Duplex, All Ensuite",Surulere,1800000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Surulere,2,2,3,2
Standard Room And Parlor Self-contained,Epe,180000,1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save, Lagos,1,2,2,2
New Luxury 2 Bedroom Flat Ensuite With The Necessary Facilities,Ikorodu,400000,2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save, Back Of Mechanic Village,2,2,3,5
Renovated 3 Bedroom Flat,Ikeja,2300000,3 Bedrooms3 Bathrooms4 Toilets20 Parking Spaces Save, Lagos,3,3,4,20
A Lovely & Nice Well Finished All Room Ensuite 3 Bedroom Flat,Surulere,3000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Surulere,3,3,4,3
Executive Mini Flat,Lekki,1350000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save, Lekki,1,1,2,1
Luxury Clean 2 Bedroom Flat,Ajah,700000,2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save, Sangotedo,2,2,3,5
A Room Self Contain,Lekki,1200000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Lekki Expressway,1,1,1,4
Fully Furnished 3 Bedroom Flat,Victoria Island (VI),8500000,3 Bedrooms3 Bathrooms4 Toilets Save, Victoria Island (VI),3,3,4,
Brand New 5 Bedroom Duplexes,Ikeja,5000000,5 Bedrooms5 Bathrooms5 Toilets8 Parking Spaces Save, Lagos,5,5,5,8
Nice And Standard Self Contained,Lekki,600000,1 Bedroom Save, Lekki,1, ,,
Nice And Standard Self Contained,Lekki,1300000,1 Bedroom Save, Lekki,1, ,,
2 Bedroom Flat All Room Ensuit With A Guest Toilet,Ikeja,1200000000,2 Bedrooms3 Bathrooms3 Toilets6 Parking Spaces Save, Allen,2,3,3,6
2 Bedroom Flat All Room Ensuit With A Guest Toilet,Ikeja,1000000,2 Bedrooms3 Bathrooms3 Toilets8 Parking Spaces Save, Allen,2,3,3,8
Super Luxury 4 Bedroom Serviced Apartment With A Bq,Ikoyi,22000000,4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save, Ikoyi,4,4,5,3
Well Finished 2 Bedroom Flat,Ikeja,1300000,2 Bedrooms2 Bathrooms3 Toilets10 Parking Spaces Save, Allen,2,2,3,10
Mini Flat Available,Lekki,1800000,1 Bedroom Save, U3 Estate Marwa,1, ,,
A Spacious 2 Rooms Office Space,Shomolu,350000,1 Bathroom1 Toilet1 Parking Space Save, Onipanu,1,1,1,1
Newly Renovated 2 Bedroom Apartment.,Shomolu,900000,2 Bedrooms3 Bathrooms3 Toilets Save, Ilaje,2,3,3,
Renovated Apartment,Ikeja,2000000,3 Bedrooms3 Bathrooms4 Toilets50 Parking Spaces Save, Allen,3,3,4,50
Exquisitely Furnished 3 Bedroom Apartment,Victoria Island (VI),4500000,3 Bedrooms3 Bathrooms3 Toilets1 Parking Space Save, Victoria Island (VI),3,3,3,1
A Lovely Room Self Contained,Lekki,650000,1 Bedroom2 Bathrooms1 Toilet Save, Lekki Phase 1,1,2,1,
Neat Newly Built 2 Bedroom Flat All Tiles Floor Big Compound,Ayobo,200000,2 Bedrooms2 Bathrooms2 Toilets Save, Ayobo,2,2,2,
Spacious 3 Bedroom Flat All Tiled Floor & Rooms Ensuite,Ayobo,250000,3 Bedrooms3 Bathrooms4 Toilets Save, Ayobo,3,3,4,
Self Serviced 3 Bedrooms Flat,Lekki,1700000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikate,3,3,4,2
Renovated 3 Bedroom Apartment With A Bq,Ikeja,3000000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Lagos,3,3,4,4
Nice And Standard Newly Built Self Contained With Extra Space,Lekki,1000000,1 Bedroom Save, Osapa London,1, ,,
Nice And Standard Newly Built Self Contained,Lekki,900000,1 Bedroom Save, Osapa London,1, ,,
3 Bedrooms Flat,Agege,500000,3 Bedrooms2 Bathrooms2 Toilets8 Parking Spaces Save,captain Bus-stop.,3,2,2,8
Newly Renovated 3 Bedrooms Flat With One Room Bq,Ikeja,2000000,3 Bedrooms3 Bathrooms4 Toilets8 Parking Spaces Save, Opebi,3,3,4,8
Relatively New 3 Bedroom Flat In Quiet Location,Ikeja,1800000,3 Bedrooms3 Bathrooms3 Toilets8 Parking Spaces Save, Ikeja,3,3,3,8
Well Built 5 Units Of 3 Bedroom Apartment With Bq,Ikeja,16000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lagos,3,3,4,2
Spacious 2 Bedrooms Flat,Epe,270000,2 Bedrooms3 Bathrooms3 Toilets5 Parking Spaces Save, Epe,2,3,3,5
2 Bedrooms Flat,Epe,120000,1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save, Epe,1,2,2,2
2 Bedrooms Flat,Epe,350000,2 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, Epe,2,3,3,3
A Room Self Contained.,Lekki,700000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Lekki Expressway,1,1,1,4
A Mini Flat,Lekki,1600000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Lekki Expressway,1,1,1,4
A Room Self Contained,Lekki,900000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Lekki,1,1,1,4
A Room Self Contained.,Lekki,950000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Lekki Expressway,1,1,1,4
A 3 Bedroom Flat Upstairs All Rooms.,Surulere,2000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Adelabu,3,3,4,2
3 Bedroom Flat.,Ajah,1250000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ilaje,3,3,4,2
Newly Built 2 Bedroom Flat,Ajah,1000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ilaje,2,2,3,2
Service 2 Bedroom Flat.,Victoria Island (VI),2000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Oniru,2,2,3,2
Newly Built 1 Bedroom Service Apartment Mini Flat,Ajah,700000,1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save, Ajah,1,1,2,2
A Newly Built 2 Bedroom Flat Ground Floor,Surulere,1700000,2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save, Surulere,2,3,3,2
Lovely Ensuite 3 Bedroom Flat On Second Floor,Ikeja,1000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ogba,3,3,4,
Pop Finished 2 Bedroom Apartment.,Ikorodu,250000,2 Bedrooms1 Bathroom1 Toilet1 Parking Space Save, Igbogbo,2,1,1,1
3 Bedroom Flat Apartment,Agege,550000,3 Bedrooms2 Bathrooms2 Toilets3 Parking Spaces Save, Agege,3,2,2,3
Newly Renovated 3 Bedroom Flat In A Luxurious Estate,Lekki,1700000,3 Bedrooms3 Bathrooms4 Toilets10 Parking Spaces Save, Lekki,3,3,4,10
Executive 3 Bedroom Flat,IbejuLekki,850000,3 Bedrooms3 Bathrooms4 Toilets8 Parking Spaces Save, Bogije,3,3,4,8
Newly Built 2 Bedroom Flat,Ikorodu,200000,2 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, Igbogbo,2,3,3,3
A Room Self Contained,Lekki,850000,1 Bedroom1 Bathroom1 Toilet5 Parking Spaces Save, Lekki Expressway,1,1,1,5
Room And Parlour Self Contained,Ikorodu,160000,1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save, Igbogbo,1,2,2,2
A Room Self Contained,Lekki,650000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Lekki Expressway,1,1,1,4
Newly Built 2 Bedroom Flat,Ikeja,900000,2 Bedrooms2 Bathrooms2 Toilets Save, Ikeja,2,2,2,
Elegant 2 Bedroom Flat,Ogudu,1000000,2 Bedrooms2 Bathrooms2 Toilets Save, Ogudu,2,2,2,
A Room Self Contained,Lekki,850000,1 Bedroom1 Bathroom1 Toilet6 Parking Spaces Save, Lekki Expressway,1,1,1,6
Tastefully Finished 3 Bedroom Flat,Isheri North,850000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Isheri North,3,3,4,2
Newly Built Single Roomself Contained,Ikorodu,80000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save,capentry Street,1,1,1,1
Beautifully Built 2 Bedroom Flat,Lekki,1700000,2 Bedrooms2 Bathrooms2 Toilets3 Parking Spaces Save, Idado,2,2,2,3
3 Bedroom Serviced Apartment,Victoria Island (VI),4500000,3 Bedrooms3 Bathrooms4 Toilets Save, Victoria Island (VI),3,3,4,
3 Bedroom Flat All Rooms Ensuite,Arepo,500000,3 Bedrooms3 Bathrooms4 Toilets Save, Off Lagos-ibadan Expessway,3,3,4,
3 Bedrooms Flat,Lekki,1400000,3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save, By Lagos Business School,3,3,4,6
6 Nos 3 Bedrooms Apartment With Swimming Pool For Commercial Use,Victoria Island (VI),4000000,3 Bedrooms3 Bathrooms4 Toilets Save, Victoria Island Extension,3,3,4,
2 Bedroom Flat,Alimosho,450000,2 Bedrooms1 Bathroom1 Toilet5 Parking Spaces Save, Egbeda,2,1,1,5
Luxurious Newly Built A Room And Parlour Self Contain,Ajah,700000,1 Bedroom1 Bathroom2 Toilets7 Parking Spaces Save, Ajah,1,1,2,7
Lovely One Room Self Contained Flat In A Gated Environment ( Upstairs),Yaba,350000,  Save, Lagos,,,,
Ground Floor 2 Bedroom Flat,Lekki,2000000,2 Bedrooms1 Bathroom2 Toilets1 Parking Space Save, Lekki,2,1,2,1
Lovely 3 Bedroom Flat,Ketu,800000,3 Bedrooms Save, Ketu,3, ,,
Newly Built Tastefully Finished 2 Bedroom Flat All Ensuite Upstairs,Magodo,1600000,2 Bedrooms2 Bathrooms3 Toilets7 Parking Spaces Save, Magodo,2,2,3,7
We Have Luxury 2 Bedrooms,Isolo,1000000,2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save, Ajao Estate,2,2,3,8
We Have Newly Built Luxury 3 Bedroom Flat,Isolo,1500000,3 Bedrooms3 Bathrooms3 Toilets10 Parking Spaces Save, Ajao Estate,3,3,3,10
3 Bedroom Flat,Ketu,800000,3 Bedrooms3 Toilets Save, Ketu,3,3,  ,
Nice Room & Parlour,Alimosho,400000,1 Bedroom1 Bathroom1 Toilet Save, Egbeda,1,1,1,
Luxurious 2 Bedroom Flat Upstairs,Ajah,850000,2 Bedrooms2 Bathrooms3 Toilets7 Parking Spaces Save, Badore,2,2,3,7
Urgent Newly Renovated Two Bedroom Flat For Office Used,Ikeja,1000000,2 Bedrooms2 Bathrooms2 Toilets8 Parking Spaces Save, Allen,2,2,2,8
Studio Apartment,Ikoyi,4000000,  Save, Ikoyi,,,,
"A Very Sharp 2 Bedrooms, Shared Apartment, Upstairs, Only 2 People",Ajah,240000,1 Bathroom1 Toilet3 Parking Spaces Save, Very Close To Ado Roundabout,1,1,1,3
Luxurious Room And Parlour Self Contained With Standby Generator,Lekki,2500000,1 Bedroom1 Bathroom2 Toilets80 sqm Total Area Save, Lekki Phase 1,1,1,2,
Luxurious 2 Bedroom Flat,Ajah,900000,2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save, Close To Northwest Filling Station Ilaje,2,2,3,8
4 Bedroom Bungalow,Surulere,1500000,4 Bedrooms2 Toilets2 Parking Spaces Save, Adeniran Ogunsanya,4,2,2,2
Refurbished Luxury 2 Bedroom Duplex,Magodo,2000000,2 Bedrooms2 Bathrooms3 Toilets6 Parking Spaces Save, Magodo,2,2,3,6
A Self Contained Room,Lekki,900000,1 Bathroom1 Toilet5 Parking Spaces600 sqm Total Area Save, Osapa,1,1,1,5
A Room Self Contained,Lekki,1000000,1 Bathroom1 Parking Space500 sqm Total Area500 sqm Covered Area Save,,1,,,1
A Room Self Contained,Lekki,1250000,1 Bathroom1 Parking Space500 sqm Total Area500 sqm Covered Area Save,,1,,,1
A Room Self Contained,Lekki,650000,1 Bathroom1 Parking Space500 sqm Total Area500 sqm Covered Area Save, Agungi,1,,,1
Brand New 3 Bedroom Flat,Ajah,1500000,3 Bedrooms3 Bathrooms4 Toilets5 Parking Spaces Save, Ajah,3,3,4,5
A Room Self Contained,Lekki,850000,1 Bathroom1 Parking Space500 sqm Total Area500 sqm Covered Area Save, Agungi,1,,,1
A Room & Parlour,Lekki,1600000,1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save, Agungi,1,1,1,3
A Brand Newly Built Mini Flat,Surulere,600000,1 Bedroom1 Bathroom2 Toilets Save, Surulere,1,1,2,
Luxurious Room And Parlour Self Contained,Lekki,800000,1 Bedroom1 Bathroom2 Toilets4 Parking Spaces Save, Lekki,1,1,2,4
3 Bedroom Apartments,Victoria Island (VI),11000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lagos,3,3,4,2
A Brand Newly Built Mini Flat,Yaba,350000,1 Bedroom1 Bathroom1 Toilet Save, Sabo,1,1,1,
Excellent & Spacious Bedroom All Rooms Ensuite Flat With Car Park,Shomolu,1200000,3 Bedrooms3 Bathrooms4 Toilets Save, Lagos,3,3,4,
A Very Decent Newly Built Mini Flat,Ipaja,250000,1 Bedroom1 Bathroom1 Toilet Save, Ipaja,1,1,1,
3 Bedroom Flat,Yaba,1000000,3 Bedrooms2 Bathrooms2 Toilets Save, Sabo,3,2,2,
A Newly Renovated Mini Flat,Shomolu,350000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Ilaje,1,1,1,1
A Superb Fully Furnished N Fully Serviced 2 Bedroom Flat,Lekki,2500000,2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save, Lekki,2,2,3,5
A Room In A Flat,Ajah,300000,1 Bathroom1 Toilet5 Parking Spaces500 sqm Total Area Save, Badore,1,1,1,5
"2 Bedroom Flat Downstairs With 1toilet Bathroom , Nice Kitchen Cabinet",Maryland,850000,2 Bedrooms1 Bathroom1 Toilet8 Parking Spaces Save, Maryland,2,1,1,8
Luxurious 2 Bedroom Flat Upstairs,Ajah,950000,2 Bedrooms3 Bathrooms3 Toilets7 Parking Spaces Save, Sangotedo,2,3,3,7
Luxurious 3 Bedroom Flat,Ajah,1100000,3 Bedrooms4 Bathrooms4 Toilets7 Parking Spaces Save, Ajah,3,4,4,7
Luxurious 2 Bedroom Flat,Ajah,1200000,2 Bedrooms2 Bathrooms3 Toilets7 Parking Spaces Save, Ajah,2,2,3,7
A Lovely And Nice Room Self Contained,Yaba,350000,1 Bathroom1 Toilet1 Parking Space650 sqm Total Area Save, Yaba,1,1,1,1
A Lovely And Nice Very Decent 2 Bedroom Flat,Yaba,750000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Onike,2,2,3,2
Luxurious Fully Furnished 2 Bedroom Flat,Ajah,1500000,2 Bedrooms2 Bathrooms3 Toilets6 Parking Spaces Save, Ajah,2,2,3,6
3-bedroom Flat,Ikeja,1500000,3 Bedrooms3 Bathrooms3 Toilets Save, Ikeja,3,3,3,
Luxury 4 Bedroom Apartment,Victoria Island (VI),4500000,4 Bedrooms3 Bathrooms4 Toilets1 Parking Space Save, Victoria Island (VI),4,3,4,1
Big Self Contained Apartment,Yaba,250000,1 Toilet Save, Ebute Metta East,1,,1,
Mini Flat,Ojodu,350000,1 Bedroom1 Toilet Save, Akiode,1,1,  ,
Lovely 3 Bedroom Flat In A Gated Area,Agege,600000,3 Bedrooms3 Bathrooms3 Toilets Save, Agege,3,3,3,
"Newly Built Room Self Contained With Car Park, Balcony",Ilupeju,320000,1 Bathroom2 Toilets2 Parking Spaces Save, Palmgrove,1,1,1,2
"Nice Mini Flat 1 Toilet, Bathrm, Tiled Floor, Kitchen",Maryland,600000,1 Bedroom1 Bathroom1 Toilet5 Parking Spaces Save, Mende,1,1,1,5
Miniflat At Harmony Estate Gbagada,Gbagada,600000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Gbagada,1,1,1,1
A Room In A Flat Shared Kitchen Only,Ajah,300000,1 Bathroom1 Toilet5 Parking Spaces500 sqm Total Area Save, Ajah,1,1,1,5
"Nice Mini Flat Upstairs, Downstairs.",Maryland,600000,1 Bedroom1 Bathroom1 Toilet5 Parking Spaces Save, Mende,1,1,1,5
Lovely Self Service 2 Bedroom Flat,Lekki,2300000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lekki,2,2,3,2
A Room Self Contain,Lekki,600000,1 Bathroom1 Toilet600 sqm Total Area600 sqm Covered Area Save, Lekki,1,,6,
Newly Built Mini Flat In A Good Location,Ikotun,250000,1 Bedroom2 Bathrooms2 Toilets5 Parking Spaces Save, Ijegun,1,2,2,5
Nice And Standard Renovated Self Contained,Lekki,450000,  Save, Idado,,,,
Standard Room And Parlor Self-contain With Pop,Epe,150000,1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save, Lagos,1,1,1,3
Luxury Miniflat,Epe,150000,1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save, Lagos,1,1,1,3
Two Bedroom Apartment,Lekki,1200000,2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save, Lekki,2,2,2,2
A Room And Parlour Apartment,Lekki,650000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Lekki,1,1,1,1
Two Bedroom Apartment,Lekki,1700000,2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save, Lekki,2,2,2,2
One Bedroom Apartment,Lekki,1200000,1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save, Lekki,1,2,2,2
A Room Self Contained,Lekki,600000,1 Bathroom1 Toilet600 sqm Total Area500 sqm Covered Area Save, Lekki Expressway,1,,1,
Newly Renovated Room Self Contained. Lovely Toilet & Bath,Maryland,250000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Maryland,1,1,1,4
Luxury 2 Bedrooms Flat,Ikeja,2000000,2 Bedrooms2 Bathrooms3 Toilets Save, Ikeja,2,2,3,
Beautiful 1 Bedrooms Apartment,Ikeja,900000,1 Bedroom1 Bathroom2 Toilets Save, Ikeja,1,1,2,
Very Clean And Spacious Standard Room Self Contained,Ketu,300000,1 Bathroom1 Toilet2 Parking Spaces Save, Ikosi,1,1,1,2
Luxury Room In A Shared Apartment Duplex,Ajah,600000,1 Bathroom1 Toilet1 Parking Space800 sqm Total Area Save, Off Lagos Business School Road,1,1,1,1
1 Bedroom Flat,Maryland,650000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Maryland,1,1,1,1
Luxury 3 Bedrooms Apartment With Bq,Victoria Island (VI),12000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
1 Bedroom Waterfront Apartment,Victoria Island (VI),32000,1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save, Lagos,1,1,2,2
2 Bedrooms,Ketu,450000,2 Bedrooms Save, Ketu,2,,,
"A Brand New Room In A Standard Flat, Shared Kitchen Only",Ajah,300000,1 Bathroom1 Toilet5 Parking Spaces500 sqm Total Area Save, Badore,1,1,1,5
3 Bedrooms Flat,Gbagada,800000,3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save, Ifako,3,2,2,2
2 Bedrooms,Ikeja,1200000,2 Bedrooms2 Bathrooms2 Toilets7 Parking Spaces Save, Ikeja,2,2,2,7
Luxury 2 Bedrooms Flat,Ajah,1000000,2 Bedrooms2 Bathrooms3 Toilets12 Parking Spaces Save, Sangotedo,2,2,3,12
Serviced 1 Room Self Contained In A Serene Environment,Victoria Island (VI),1300000,1 Bedroom1 Bathroom1 Toilet Save, Lagos,1,1,1,
3 Bedrooms Flat,Gbagada,1600000,3 Bedrooms Save, Gbagada Phase 2,3, ,,
A Luxury 3 Bedrooms Flat With Good Finishing,Gbagada,1250000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Gbagada,3,3,4,2
Executive Studio Apartment,Lekki,1200000,1 Bathroom1 Toilet1 Parking Space Save, Lekki,1,1,1,1
Furnished Studio Apartment,Ikoyi,6000000,  Save, Ikoyi,,,,
A Room Self Contained,Lekki,500000,1 Bathroom1 Toilet400 sqm Total Area400 sqm Covered Area Save, Lekki,1,1,1,
Authentic And Achievable Homes,Lekki,2000000,3 Bedrooms4 Bathrooms4 Toilets Save, Lekki,3,4,4,
Very Nice 2 Bedrooms Flat,Ajah,700000,2 Bedrooms2 Bathrooms3 Toilets10 Parking Spaces Save, Olokonla,2,2,3,10
Clean 3 Bedrooms Flat,Ajah,1200000,3 Bedrooms4 Bathrooms4 Toilets8 Parking Spaces Save, Sangotedo,3,4,4,8
Luxury 3 Bedrooms Furnished Flat,Lekki,3500000,3 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,3,4,4,2
Luxury Furnished 3 Bedroom Apartment,Victoria Island (VI),4500000,3 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save, Victoria Island (VI),3,2,3,1
Luxurious Newly Built 3 Bedrooms Flat,IbejuLekki,700000,3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save, By Global Gate Opposite Green Spring School,3,3,4,6
A Room Self Contained.,Lekki,700000,1 Bedroom1 Bathroom1 Toilet5 Parking Spaces Save, Lekki Expressway,1,1,1,5
Furnished Self Contained.,Lekki,600000,1 Bedroom1 Bathroom1 Toilet Save, Lekki,1,1,1,
3 Bedroom Flat,Lekki,2200000,3 Bedrooms3 Bathrooms4 Toilets Save, Lekki,3,3,4,
An Executive Mini Flat,Ketu,600000,1 Bedroom2 Toilets Save,street,1,2,  ,
Upscale 3 Bedroom Premium Maisonette,Ikoyi,15000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Spacious 3 Bedroom Flat With All Rooms Ensuit,Ajah,1000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Ajah,3,3,4,3
Brand New 2 Bedroom Flats With Excellent Finishing,Ajah,750000,2 Bedrooms2 Bathrooms3 Toilets Save, Opposite Lagos Business School (lbs),2,2,3,
Newly Built 2 Bedroom Apartments In A Secured And Serene Estate,Ipaja,600000,2 Bedrooms3 Bathrooms3 Toilets12 Parking Spaces Save, Lagos,2,3,3,12
Luxurious Mini Flat Apartment Furnished,Ajah,750000,1 Bedroom2 Bathrooms2 Toilets7 Parking Spaces Save, Ajah,1,2,2,7
Brand New Luxury 2bedroom Apartment,Ajah,1200000,2 Bedrooms3 Bathrooms3 Toilets23 Parking Spaces Save, Ajah,2,3,3,23
"Newly Renovated 3 Bedrooms Flat, Upstairs",Surulere,1300000,3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save, Ogunlana,3,2,2,2
Well Maintained 3 Bedroom Flat,Ikeja,1500000,3 Bedrooms3 Bathrooms4 Toilets12 Parking Spaces Save, Allen,3,3,4,12
New 3 Bedroom Flat,Ikeja,2000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikeja,3,3,4,
3 Bedroom,Yaba,2000000,3 Bedrooms4 Toilets23 Parking Spaces Save, Adekunle,3,4,2,1
An Executive Brand Newly Built Room Self Contained,Yaba,550000,1 Bedroom1 Bathroom1 Toilet Save, Onike,1,1,1,
Newly Built 2 Bedroom At A Secured And Serene Environment,Ayobo,500000,2 Bedrooms3 Bathrooms3 Toilets8 Parking Spaces Save, Ayobo,2,3,3,8
Luxury Mini Flat,Ajah,700000,1 Bedroom1 Bathroom2 Toilets8 Parking Spaces Save, Sangotedo,1,1,2,8
Luxurious Newly Built Upstairs 2 Bedroom Flat,IbejuLekki,400000,2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save, Onosa,2,2,3,5
Luxury And Very Spacious Studio Apartment,Lekki,1300000,1 Bedroom Save, Lekki,1, ,,
3 Bedroom Apartments Ideal For A Coporate Tenant,Ikoyi,15000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Beautiful 3 Bedroom Flat With Bq.,Lekki,2500000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Lekki,3,3,4,4
3 Bedroom Apartments.,Victoria Island (VI),8000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lagos,3,3,4,2
Newly Built 3 Bedroom Flat.,Lekki,2700000,3 Bedrooms3 Bathrooms5 Toilets3 Parking Spaces Save, Lekki,3,3,5,3
Very Spacious Mini Flat,Lekki,1200000,1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save, Lekki,1,1,2,2
3 Bedrooms Apartment,Ikoyi,12500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
A Good And Nice 2 Bedroom Flat With All Rooms Ensuit.,Surulere,1500000,2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save, Surulere,2,2,3,1
Luxury Mini Flat,Lekki,800000,1 Bedroom2 Bathrooms2 Toilets5 Parking Spaces Save, Ikota,1,2,2,5
2 Bedroom Flat All Room Ensuit With A Guest Toilet.,Magodo,1800000,2 Bedrooms3 Bathrooms3 Toilets4 Parking Spaces Save, GRA,2,3,3,4
2 Bedroom Flat All Room Ensuit With A Guest Toilet,Ikeja,1500000,2 Bedrooms3 Bathrooms3 Toilets4 Parking Spaces Save, Omole Phase 2,2,3,3,4
A Lovely Well Furnished Room Self Contained.,Yaba,500000,1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save, Akoka,1,1,1,2
3 Bedroom Luxury Apartments.,Victoria Island (VI),14000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lagos,3,3,4,2
3 Bedroom Luxury Apartments Ideal For A Coporate Tenant,Ikoyi,10000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
4 Bedroom Luxury Apartment.,Ikoyi,12000000,4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save, Ikoyi,4,4,5,2
2 Bedroom Luxury Apartments Ideal For A Coporate Tenant,Ikoyi,8000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,2,2,3,2
2 Bedroom Luxury Waterfront Apartments,Victoria Island (VI),10000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lagos,2,2,3,2
3 Bedroom Luxury Waterfront Apartments,Victoria Island (VI),13000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lagos,3,3,4,2
3 Bedroom Luxury Apartment,Victoria Island (VI),16000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lagos,3,3,4,2
4 Bedroom Luxury Apartment,Victoria Island (VI),17000000,4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save, Lagos,4,4,5,2
3 Bedroom Luxury Apartment.,Ikoyi,9000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Ikoyi,3,3,4,3
4 Bedrooms Apartment,Ikoyi,12500000,4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save, Ikoyi,4,4,5,2
4 Bedrooms Waterfront Apartment,Ikoyi,21000000,4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save, Ikoyi,4,4,5,2
2 Bedrooms Flat,Gbagada,800000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Medina,2,2,3,2
Clean 3 Bedrooms Flat,Ajah,1200000,3 Bedrooms3 Bathrooms3 Toilets8 Parking Spaces Save, Sangotedo,3,3,3,8
Water View Luxury 2 Bedrooms Apartment,Lekki,8000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lekki,2,2,3,2
