property_type,location,price,features,neighourhood,bedroom,bathroom,toilet,parking_lot
A Lovely Newly Built 2 Bedroom Flat,Yaba,700000,2 Bedrooms3 Bathrooms3 Toilets500 sqm Total Area Save, Ebute Metta East,2,3,3,
Brand 2 Bedroom Flat (upstairs),Ajah,750000,2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save, Ajah,2,2,3,5
Luxury 3 Bedroom Apartment (water View) With Excellent Facilities,Victoria Island (VI),13000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
Very Decent 3 Bedroom Flat With Pop Finishing And All Rooms Ensuites,Magodo,2000000,3 Bedrooms3 Bathrooms4 Toilets Save, Shangisha,3,3,4,
A Lovely & Nice Newly Renovated 3 Bedroom Flat,Yaba,1000000,3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save, Costain,3,2,2,2
Luxury Mini Flat,Ikeja,1300000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Ikeja,1,1,1,1
3 Bedroom Apartment With Bq,Ikoyi,7000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
3 Bedroom Apartment,Lekki,4000000,3 Bedrooms3 Bathrooms4 Toilets Save, Lekki,3,3,4,
Luxury 3 Bedroom Flat - Sea View With Good Facilities,Lekki,4000000,3 Bedrooms3 Bathrooms3 Toilets Save, Lekki Phase 1,3,3,3,
3 Bedroom Pent House Office Space,Ikoyi,4000000,3 Bedrooms3 Bathrooms3 Toilets Save, Falomo,3,3,3,
3 Bedroom Serviced Apartment,Lekki,2500000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Lekki,3,3,4,4
Brandnew 3 Bedroom Flat,Ajah,1500000,3 Bedrooms3 Bathrooms4 Toilets5 Parking Spaces Save, Ajah,3,3,4,5
Premium 3 Bedroom Highrise Apartment,Ikoyi,8000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Luxury 3 Bedroom Apartment With A Bq,Ikoyi,10000000,3 Bedrooms Save, Ikoyi,3, ,,
Luxury 2 Bedroom Apartment,Ikoyi,6000000,2 Bedrooms2 Bathrooms3 Toilets Save, Ikoyi,2,2,3,
Beautiful 3 Bedroom Apartment,Ikoyi,8500000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Luxury 3 Bedroom Apartment,Ikoyi,8500000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Luxury 4 Bedrooms Apartment,Ikoyi,15000000,4 Bedrooms4 Bathrooms5 Toilets Save, Ikoyi,4,4,5,
Luxury Highrise 4 Bedroom Apartment,Victoria Island (VI),18000000,4 Bedrooms4 Bathrooms5 Toilets Save, Lagos,4,4,5,
Upscale 3 Bedroom Apartment,Victoria Island (VI),12000000,3 Bedrooms3 Bathrooms4 Toilets Save, Lagos,3,3,4,
New Spacious 3 Bedroom Flat,Isolo,1300000,3 Bedrooms3 Bathrooms3 Toilets Save, Ajao Estate,3,3,3,
2 Units Of Spacious 3 Bedrooms With 24 Hours Light,Ilupeju,1200000,3 Bedrooms2 Bathrooms3 Toilets3 Parking Spaces Save, Cappa,3,2,3,3
Newly Built Self-contained,Ajah,250000,1 Bathroom1 Toilet5 Parking Spaces Save, Ajah,1,1,1,5
"Just 2 In A Compound, 2 Bedroom Flat",Ikorodu,250000,2 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, Igbogbo,2,3,3,3
Furnished Room And Parlour,Ikorodu,200000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Igbogbo,1,1,1,1
Newly Built 1 Bedroom Apartment,Lekki,1200000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save, Lekki,1,1,2,1
3 Bedroom Flat With Bq,Ikoyi,4000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
3 Bedroom Flat,Lekki,2000000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Osapa,3,3,4,4
Executive Luxury 3 Bedroom Apartment,Ikoyi,16000000,3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save, Ikoyi,3,4,4,3
Spacious Executive Mini Flat,Ajah,600000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save,ogidan,1,1,2,1
Spacious Clean 3 Bedroom Apartment,Isheri North,850000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, GRA,3,3,4,3
